,annotation_id,id,text,class,label
1109,56627046,1878554766814376041,"Wer behauptet, die Wirtschaft stärken zu wollen, kann noch vor der Wahl gemeinsam mit uns die Deckelung der Netzentgelte beschließen.",Propaganda,1
261,56617272,1879178208299606326,"Es kann doch nicht sein, dass eine alleinerziehende Mutter in Teilzeit mehr für die gesetzliche Krankenversicherung aufbringt als jemand, der mit Aktien Millionen verdient.",Propaganda,1
374,56122040,1891434964001948089,Aufrüsten für Donald Trump?,Propaganda,1
380,56620225,1890392434443534587,Steuerfreiheit bis 2000€ ist das Mindeste.,Non-Propaganda,0
549,56125248,1892234619338015213,Das gesamte Gespräch findet ihr auf unserem YouTube-Kanal:,Non-Propaganda,0
1063,56626991,1872992097474900344,Dafür haben wir konkrete Vorschläge.,Non-Propaganda,0
207,56121676,1889268057337442629,Warum steht eigentlich nichts zur Rente im 100 Tage Programm der Union?,Non-Propaganda,0
230,56298777,1891603557981241735,Deswegen mein Appell: Engagieren Sie sich bitte in Ihren Generationen auch in der Politik - und zwar in den politischen Parteien und Jugendorganisationen.,Non-Propaganda,0
1606,56621643,1892168552020615640,"Neun Menschen wurden brutal ermordet, die Opfer wählte der Täter gezielt aufgrund ihres augenscheinlichen Migrationshintergrundes aus.",Non-Propaganda,0
220,56123099,1886753242924663183,"Was wir direkt angehen werden: Weniger Betriebsbeauftragte,",Non-Propaganda,0
445,56296236,1888536094842446164,"Kaputte Schulen, verrottete Infrastruktur, eine schlecht ausgestattete Polizei und überforderte Behörden“, so KubickiWo beim BPT25. jetztFDP",Non-Propaganda,0
1262,56618556,1892111557032632680,Ihre Namen sind uns Verpflichtung.,Non-Propaganda,0
760,56118889,1892901252897395007,"Die alten Parteien wollen keine Kraft im Bundestag, die ihr massives Versagen bei Diplomatie und sozialer Gerechtigkeit, bei Migration und innerer Sicherheit zum Thema macht!",Propaganda,1
1013,56618268,1876191713787842666,Nach dem Anschlag in Magdeburg ist leider ein sechstes Opfer zu beklagen.,Non-Propaganda,0
1110,56117752,1883539343564067168,Zuversicht ist Arbeit an der Hoffnung.,Propaganda,1
214,56620044,1884600096156778964,Das ist der richtige Kurs für unser Land.,Propaganda,1
887,56296517,1890330461349478816,Unser Kanzlerkandidat auf dem Titel des Economist.,Non-Propaganda,0
1770,56620838,1890148601394819574,"Ich möchte, dass das, was wir in unserem Land seit 75 Jahren haben, unsere Kinder in 25 und in 50 Jahren auch noch haben.",Non-Propaganda,0
1980,56125674,1878046644786110603,Der Ausbau der Erneuerbaren geht jetzt massiv voran.,Non-Propaganda,0
1446,56126053,1879584315887214886,WirAlleSindDeutschland,Propaganda,1
150,56618001,1883087426945728873, Nächster Halt: Baden-Württemberg!,Non-Propaganda,0
1030,56620525,1890683018794213761,"Neben besseren Löhnen und Arbeitszeiten für Pflegeberufe setzen wir auf die Bürgerversicherung, in die alle einzahlen – für stabile Beiträge, bessere Versorgung und ein Ende der Zwei-Klassen-Medizin.",Propaganda,1
891,56122031,1877082117940576609,Ersten Tag krank unbezahlt Feiertage auf Sonntag legen Frauentag abschaffen,Non-Propaganda,0
1206,56296856,1881679320206430299,Statt Migranten-Bonus in der Schule: Für uns kommst DU zuerst!,Propaganda,1
1423,56071791,1873784836055589230,Alle müssen einzahlen und alle Einkommensarten werden angerechnet.,Non-Propaganda,0
331,56119304,1883890600044593358,Nur so werden wir den riesigen Herausforderungen in der Außen- & Sicherheitspolitik gerecht.,Non-Propaganda,0
875,56296684,1879202100342919255,"Grüner Stahl ist nicht nur eine Investition in neue Technologien, sondern auch in sichere Arbeitsplätze und die Zukunft unseres Industriestandorts.",Propaganda,1
1983,56123630,1888114165165817957,Nun wurde er in der Ukraine verhaftet.,Non-Propaganda,0
1378,56296454,1887486892351918137,Wir haben den Strom sauber gemacht.,Propaganda,1
379,56616405,1873454087020421149,Eine Demokratie lebt vom Austausch,Propaganda,1
553,56118334,1889235970194600279,Und weil sie deshalb die größte Gefahr sind für Deutschlands Zukunft.,Propaganda,1
1934,56125152,1881394714630385995,Das Parlament hat es heute aber abgelehnt über die Drehtür von Ex EU-Kommissar ThierryBreton zur Bank of America,Propaganda,1
16,56299448,1891203341033644252,Wir wollen höhere Löhne und genug Geld für ein würdevolles Leben für alle.,Propaganda,1
1468,56118342,1883495175970062368,"Wir brauchen ein klares Bekenntnis, wo Deutschland steht.",Propaganda,1
1373,56123592,1892291815501344830,"Am kommenden Sonntag AfD wählen - denn ""wer einer guten Zukunft im Geiste eines gesunden Patriotismus den Weg bereiten will, der reißt die undemokratische Brandmauer ein!",Propaganda,1
301,56126499,1880905003948224816,"Für Jene, die immer nur mehr Waffen schreien, scheinen die Menschen die dafür sterben sowie die Perspektivlosigkeit eines zerstörten und entvölkerten Landes, nur Störgeräusche zu sein.",Propaganda,1
592,56619694,1876655347286593724,"Wir stehen für eine Politik, die Naivität gegen realpolitische Sicherheitspolitik eintauscht – online wie offline.",Propaganda,1
172,56122939,1888671867403436160,Die Zukunft.,Non-Propaganda,0
21,56619099,1891864514510918140,"Der Ältestenrat des Deutschen Bundestages hat heute den Antrag der AfD-Bundestagsfraktion abgelehnt, den Bundestag angesichts der jüngsten Anschläge in Aschaffenburg und München zu einer Sondersitzung einzuberufen.",Non-Propaganda,0
1175,56125243,1889699889929462240,Deshalb: Am 23.02. Die Linke wählen.,Non-Propaganda,0
1618,56065437,1888923619524247932,Merz peilt eine Koalition mit der SPD oder den Grünen an – oder gar mit Beiden.,Non-Propaganda,0
1834,56068698,1874715005435724177,"Ich habe mein Gehalt gekürzt, um auf dem Boden der Tatsachen zu bleiben.",Non-Propaganda,0
1902,56118566,1888167328514220187,.Markus_Soeder: Die Umfragen geben uns Rückenwind.,Non-Propaganda,0
787,56125336,1888259937719013734,Olaf Scholz startet in Leipzig mit einer starken Ansage:,Non-Propaganda,0
1261,56126667,1890042622959378941,"Wieder ein Asylbewerber, wieder polizeibekannt, wieder eine grauenvolle Tat.",Propaganda,1
444,56124642,1892698256796254323,Die Pflichtjahr-Debatte ist total verlogen:,Propaganda,1
113,56069345,1882077632973656557,"Wenn wir in diesem Wahlkampf nicht die Debatten darüber führen, was unser Land die nächsten Jahre tatsächlich beschäftigen wird, begehen wir den gleichen Fehler wie 2021.",Propaganda,1
836,56118679,1889773165867348160,Der angebliche Konter von Markus Lanz war keiner.,Non-Propaganda,0
1394,56118943,1883823583308533906,Am 27.01.1945 erreichten Soldaten der Roten Armee das KZ Auschwitz-Birkenau und befreiten die noch verbliebenen Insassen.,Non-Propaganda,0
626,56617309,1888538679611670660,Es waren nicht die persönlichen Beziehungen zu den einzelnen Koalitionspartnern.,Non-Propaganda,0
878,56067007,1884211606810423299,Wir sprechen über den „kaputten“ Profifußball und Probleme im Profisport mit wirtschaftlichem Druck.,Propaganda,1
225,56299301,1879458192297713688,Die alten Parteien wollen allesamt Schulden für Rüstung und dabei den Wirtschaftsstandort kaputtsparen.,Propaganda,1
466,56121715,1888468800510595236,Wie immer halten wir Euch hier auf X auf dem Laufenden.,Non-Propaganda,0
1689,56068922,1893017925835202772,700 Mrd. für Aufrüstung und deutsche Truppen für die Ukraine?,Non-Propaganda,0
525,56617195,1880617389768990758,.HeidiReichinnek und jan_vanaken wurden gerade beim LinkeBPT als unser Spitzenduo bestätigt.,Non-Propaganda,0
1699,56066643,1880366166914527528,Einzahlen in die Rente zahlt sich wieder aus!,Propaganda,1
437,56071958,1879938418588651775,"GottfriedCurio, innenpolitischer Sprecher der AfD-Fraktion, macht klar:",Non-Propaganda,0
522,56617540,1891615414544716117,So oder so: Neue Belastungen braucht das Land nicht – im Gegenteil.,Propaganda,1
1913,56620189,1877704209891553713,Deshalb wird es mit uns eine große Steuerreform geben.,Propaganda,1
313,56621830,1880567107815141509,jan_vanaken live vom Parteitag in Berlin!,Non-Propaganda,0
709,56620303,1888537013508259851,"Ich habe mit Robert Habeck vor drei Tagen in Schleswig diskutiert und er glaubt wirklich, er sei eine Gnade für Deutschland.",Propaganda,1
1059,56626996,1886418898997641472,Seit 2010 sind die Nettokaltmieten insgesamt um 64 Prozent erhöht worden!,Non-Propaganda,0
739,56119172,1889271980043448534,"Aber ich sage ausdrücklich dazu: Die Leistung von allen muss sich lohnen, die in Deutschland arbeiten gehen und sich anstrengen.",Propaganda,1
888,56071784,1888642665400439034,"Wir wollen Aufbruch, statt Rückschritt.",Propaganda,1
693,56066492,1890806618247376957,Gleicht heißt es in München:,Non-Propaganda,0
993,56122051,1888673630344856040,Zweitens: SPD und Grüne weigern,Non-Propaganda,0
964,56617642,1873670609734922478,"Doppelmoral von Merz: Kritik an Musk, aber Schweigen zu Scholz Friedrich Merz wirft Elon Musk „Einmischung“ vor, weil dieser sich positiv über die AfD äußerte.",Propaganda,1
1813,56124245,1879277629175681256,"Wolfgang Kubicki trieft nicht nur vor Arroganz gegenüber dem Journalisten Ralf Schuler - er lügt in Sachen Impfpflicht auch noch, dass sich die Balken biegen!",Propaganda,1
1249,56117672,1880320183623119051,50 Verbände mit einem deutlichen Notruf:,Non-Propaganda,0
1389,56121594,1887924958254481512,Meine Antwort ist völlig klar:,Non-Propaganda,0
696,56126071,1878385973634924635,Den Bach rauf.,Propaganda,1
1266,56118187,1886755640934035568,Aber das ist erst der Anfang.,Non-Propaganda,0
1070,56616707,1886419839754871004,"Im Asylplan von Robert Habeck heißt es: „Wer eine wirksame Kontrolle in Europa will, darf die Umsetzung von GEAS nicht blockieren.",Propaganda,1
1427,56118966,1891235322022781062,Die nächste 5. Und eine Woche ist noch Zeit.,Non-Propaganda,0
1358,56621277,1891515056757551587,"Wir haben heute vorgestellt, was wir in den ersten 100 Tagen nach den Wahlen vor haben:",Non-Propaganda,0
497,56066752,1891212670965068269,runter Denn die Wirtschaft in Deutschland muss wieder wachsen!,Propaganda,1
1990,56303474,1887927821256843498,"Ihr werdet mich überall da finden, wo es darum geht, diese Europäische Union nach vorne zu bringen und aus diesem großen europäischen Binnenmarkt wieder eine leistungsfähige Wirtschaft entstehen zu lassen, die uns auf der ganzen Welt Respekt einbringt.",Propaganda,1
1432,56068688,1893378358400135543,"Es wird Zeit, dass wieder Politik für die Mehrheit der Menschen in diesem Land gemacht wird.",Propaganda,1
1437,56618776,1887157292119867626,Mehr Info:,Non-Propaganda,0
542,56123715,1881708453116486035,Ab 22:50 Uhr gehts los!,Non-Propaganda,0
196,56297056,1878806293185499256,"Warum nur das BSW für eine vernünftige Wirtschaftspolitik steht,",Propaganda,1
282,56126166,1883847552279425043,"Pressekonferenz mit inesschwerdtner über Donald Trump, Friedrich Merz und den Angriff auf unsere Abgeordnete AkbulutGokay Linke",Non-Propaganda,0
1928,56620507,1880247378915323976,Das aus einer völlig irren Ideologie heraus entstandene Selbstbestimmungsgesetz lädt zum Missbrauch ein.,Propaganda,1
1464,56619084,1892144029900460416,Kein Geld für Krankenkasse 700 Milliarden für die Ukraine,Propaganda,1
505,56620339,1887878988259070244,Arbeiten muss wieder attraktiver sein als der Bürgergeld-Bezug.,Propaganda,1
1436,56299075,1878408305329988055,Ihr unbeirrter Einsatz für Demokratie und soziale Gerechtigkeit ist unser Erbe und unser Auftrag!,Propaganda,1
1283,56118025,1883869766802374715,"Staatsverantwortung heißt, in unsicheren Zeiten Orientierung zu geben, statt sie für schnelle Wahlkampfmanöver abzulegen.",Propaganda,1
1761,56068390,1889338832522256646,"Stabile Renten, bezahlbare Mieten und günstigen Nahverkehr gibt es nur mit uns.",Propaganda,1
29,56297391,1885248795937493468,"Aber: Voraussetzung für eine Zusammenarbeit ist, dass dieses Wort auch etwas zählt.",Propaganda,1
1473,56065474,1879142294303150463,Auf nach Leonberg: Wahlkampf-Veranstaltung in der Stadthalle!,Non-Propaganda,0
1795,56066175,1876720563923964397,"Gibt es jetzt Sanktionen, eine Einstellung von Flüssiggas-Importen aus den USA und ein paar Raketen für Grönland ?",Non-Propaganda,0
134,56297422,1876981305952366962,"Während andere über theoretische Zielvorgaben philosophieren, handeln wir ganz konkret.",Propaganda,1
11,56068997,1886741332732846526,Kurz vor der Bundestagswahl2025 schanzen SPD und Grüne Rheinmetall den nächsten Mega-Deal,Propaganda,1
1108,56617670,1885012651035476327,"Warum die sogenannte Brandmauer nicht hilft und endlich reale Probleme u.a. bei Migration, Wohnen, Bildung und Rente gelöst werden müssen, begründe ich im Interview mit dem Deutschlandfunk:",Propaganda,1
1318,56298407,1878053405936996766,Die FDP mindestens genauso.,Non-Propaganda,0
933,56617326,1889290651000348705,Die Ampelpolitik war eine permanente Politik gegen den gesunden Menschenverstand!,Propaganda,1
806,56071678,1888559584668696856,Es gibt kein günstigeres Konjunkturprogramm als der Verzicht auf lästige Bürokratie.,Propaganda,1
1777,56617024,1888683539903959438,Und wir sind weltweit nahezu Spitze.,Non-Propaganda,0
1340,56119408,1880293312906543489,Wir brauchen keinen Nachtwächterstaat.,Propaganda,1
127,56617699,1889565155685441911,20% der Stellen in der Verwaltung können in kommenden Jahren entfallen.,Non-Propaganda,0
118,56068838,1880148542565618109,Da halten wir es lieber mit Willy Brandt: „Ohne Frieden ist alles nichts.,Propaganda,1
1937,56620666,1893395245846385131,"Wir brauchen bessere Betreuungsangebote, d.h. Investitionen in Kitas, einen guten Betreuungsschlüssel, Infrastruktur vor Ort.",Propaganda,1
1664,56616280,1887805893753938271,"Warum wir mit der Lieferung von Taurus-Raketen einen direkten Krieg riskieren und warum wir unser Steuergeld nicht für ein neues Wettrüsten verschleudern sollten, begründe ich im ZDF-Schlagabtausch:",Propaganda,1
88,56071454,1893000684238209193,"Friedrich Merz schließt nicht aus, nach der Wahl die Mehrwertsteuer zu erhöhen.",Non-Propaganda,0
350,56123436,1890800777167343702,"Lebensmittel, Miete, Gas und Strom: Alles ist teurer geworden.",Non-Propaganda,0
427,56118015,1876226727979979251,"Die wirtschaftliche Lage, in der sich Deutschland befindet, ist schlecht.",Non-Propaganda,0
272,56122143,1886872674007224541,Wir wollen die wirtschaftliche Eigenständigkeit von Frauen stärken.,Non-Propaganda,0
639,56298510,1881365570618282436,"Hieß es nicht immer, dass die AfD unser Land ""isolieren"" würde?",Non-Propaganda,0
996,56122489,1888275610989936891,"Die Antwort nicht zu geben, wäre nicht fair gegenüber Wählerinnen und Wählern.",Non-Propaganda,0
1901,56125773,1883797763294704029,Mit einer Sonderveranstaltung erinnert der Deutsche Bundestag am Mittwoch an die Opfer des Nationalsozialismus.,Non-Propaganda,0
841,56118181,1888661808094830788,Wir haben hier was mit klarer Haltung und sozialem Inhalt:,Non-Propaganda,0
848,56126730,1891846590425358646,TV-Tipp: c_lindner diskutiert heute bei maischberger mit Saskia Esken.,Non-Propaganda,0
1377,56620761,1892921076356731294,"Wenige Prozentpunkte werden darüber entscheiden, ob in der nächsten Regierung jemand sitzt, der die Kraft aufbringt, für die zentralen Zukunftsthemen zu kämpfen: Klimaschutz.",Non-Propaganda,0
377,56125775,1883797763294704029,Wir vergessen keines der Opfer.,Non-Propaganda,0
1992,56620294,1882066731864342988,Wann hört dieser Wahnsinn endlich auf?,Propaganda,1
1092,56121993,1891225225791951324,Wie kann man jemand so krass vermissen Wie ich dich in diesem scheiß Augenblick?,Non-Propaganda,0
799,56619164,1891988099644678201,"Vorvergangene Woche hat der Bundestag die Bundesregierung aufgefordert, drei Milliarden Euro ohne Notlagenbeschluss für die Ukraine bereitzustellen.",Non-Propaganda,0
262,56297106,1888551443218481293,"Man muss kein Ukrainer sein, um die Ukraine zu unterstützen.",Propaganda,1
591,56620221,1888923619524247932,Merz lügt Dir ins Gesicht!,Propaganda,1
1893,56065557,1885280871168528462,"Was im Zustrombegrenzungsgesetz steht, muss kommen: eine neue Realpolitik bei der Migration.",Non-Propaganda,0
